10
[965, 3, 19, 1295140.606, 0.003, 'up', 'ok', 30]
[984, 9, 9, 197.285, 1954008.868, 'ok', 'up', 21]
[984, 9, 16, 1954008.868, 0.002, 'up', 'ok', 22]
[988, 3, 3, 924.531, 2581074.756, 'ok', 'up', 9]
[988, 3, 3, 2581074.756, 23.62, 'up', 'ok', 10]
[996, 11, 14, 451036.87, 4841.748, 'ok', 'up', 20]
[996, 14, 15, 4841.748, 0.001, 'up', 'ok', 21]
[1014, 0, 1, 0.001, 22.351, 'ok', 'up', 0]
[1014, 1, 20, 22.351, 57.996, 'up', 'ok', 1]
[1014, 9, 9, 170.109, 1234374.751, 'ok', 'up', 20]
[1014, 9, 9, 1234374.751, 126.723, 'up', 'ok', 21]
[1068, 9, 19, 8.617, 476508.683, 'ok', 'up', 76]
[1068, 19, 9, 476508.683, 0.0, 'up', 'ok', 77]
[1127, 3, 3, 203.667, 1867628.342, 'ok', 'up', 32]
[1127, 3, 19, 1867628.342, 0.003, 'up', 'ok', 33]
[1132, 3, 3, 56.631, 1338850.647, 'ok', 'up', 5]
[1132, 3, 3, 1338850.647, 26.517, 'up', 'ok', 6]
[1164, 3, 3, 136.332, 2573186.45, 'ok', 'up', 8]
[1164, 3, 19, 2573186.45, 0.015, 'up', 'ok', 9]
[1166, 3, 3, 7.775, 1342234.657, 'ok', 'up', 34]
[1166, 3, 19, 1342234.657, 0.023, 'up', 'ok', 35]
[1169, 3, 3, 210.078, 2576920.713, 'ok', 'up', 9]
[1169, 3, 19, 2576920.713, 0.003, 'up', 'ok', 10]
[1176, 0, 1, 0.072, 7.73, 'up', 'ok', 0]
[1198, 3, 3, 248.524, 1641470.182, 'ok', 'up', 27]
[1198, 3, 19, 1641470.182, 0.025, 'up', 'ok', 28]
[1222, 20, 18, 178.84, 3581.105, 'ok', 'up', 5]
[1222, 18, 20, 3581.105, 4.155, 'up', 'ok', 6]
[1224, 3, 3, 196.812, 1286341.879, 'ok', 'up', 46]
[1224, 3, 3, 1286341.879, 866.541, 'up', 'ok', 47]
[1224, 3, 3, 866.541, 753024.305, 'ok', 'up', 48]
[1224, 3, 19, 753024.305, 0.003, 'up', 'ok', 49]
[1229, 3, 3, 201.022, 851244.87, 'ok', 'up', 44]
[1229, 3, 19, 851244.87, 0.005, 'up', 'ok', 45]
[1244, 11, 14, 980.81, 4404.648, 'ok', 'up', 52]
[1244, 14, 13, 4404.648, 0.0, 'up', 'ok', 53]
[1250, 11, 15, 5300.498, 2692.641, 'ok', 'up', 55]
[1250, 15, 13, 2692.641, 0.0, 'up', 'ok', 56]
[1276, 9, 9, 196.029, 1950739.49, 'ok', 'up', 22]
[1276, 9, 19, 1950739.49, 0.003, 'up', 'ok', 23]
[1280, 3, 3, 57.109, 2593029.658, 'ok', 'up', 5]
[1280, 3, 19, 2593029.658, 0.006, 'up', 'ok', 6]
[1282, 9, 9, 25.124, 1236844.955, 'ok', 'up', 15]
[1282, 9, 9, 1236844.955, 98.97, 'up', 'ok', 16]
[1334, 3, 3, 354.215, 294291.598, 'ok', 'up', 30]
[1334, 3, 4, 294291.598, 490.04, 'up', 'ok', 31]
[1368, 9, 9, 211.154, 1989332.441, 'ok', 'up', 45]
[1368, 9, 9, 1989332.441, 22.031, 'up', 'ok', 46]
[1373, 3, 3, 85.94, 1002569.3, 'ok', 'up', 37]
[1373, 3, 3, 1002569.3, 91.68, 'up', 'ok', 38]
[1378, 3, 3, 305.563, 985435.388, 'ok', 'up', 13]
[1378, 3, 3, 985435.388, 24.187, 'up', 'ok', 14]
[1378, 3, 3, 24.187, 1444024.606, 'ok', 'up', 15]
[1378, 3, 3, 1444024.606, 60178.082, 'up', 'ok', 16]
[1404, 11, 21, 582.713, 3997.835, 'ok', 'up', 43]
[1404, 21, 18, 3997.835, 0.0, 'up', 'ok', 44]
[1408, 20, 20, 4.758, 160780.793, 'ok', 'up', 39]
[1408, 20, 20, 160780.793, 180.209, 'up', 'ok', 40]
[1438, 3, 3, 356.926, 1600945.417, 'ok', 'up', 31]
[1438, 3, 19, 1600945.417, 0.029, 'up', 'ok', 32]
[1439, 3, 3, 1057.944, 779715.628, 'ok', 'up', 12]
[1439, 3, 3, 779715.628, 28.883, 'up', 'ok', 13]
[1447, 20, 2, 5476.224, 2373.25, 'ok', 'up', 3]
[1447, 2, 3, 2373.25, 0.047, 'up', 'ok', 4]
[1447, 3, 3, 157.342, 1601387.572, 'ok', 'up', 32]
[1447, 3, 19, 1601387.572, 0.004, 'up', 'ok', 33]
[1459, 3, 3, 72.713, 1720950.867, 'ok', 'up', 39]
[1459, 3, 3, 1720950.867, 61298.954, 'up', 'ok', 40]
[1483, 3, 3, 1581.945, 2560004.769, 'ok', 'up', 8]
[1483, 3, 3, 2560004.769, 11.579, 'up', 'ok', 9]
[1503, 3, 3, 165.84, 1658796.6, 'ok', 'up', 29]
[1503, 3, 3, 1658796.6, 28.967, 'up', 'ok', 30]
[1601, 11, 5, 175048.612, 2918.172, 'ok', 'up', 40]
[1601, 5, 16, 2918.172, 0.0, 'up', 'ok', 41]
[1604, 3, 3, 158.885, 1398526.599, 'ok', 'up', 30]
[1604, 3, 3, 1398526.599, 34.661, 'up', 'ok', 31]
[1613, 9, 10, 64015.734, 874.608, 'ok', 'up', 16]
[1613, 10, 11, 874.608, 0.158, 'up', 'ok', 17]
[1631, 3, 3, 320.102, 2058327.022, 'ok', 'up', 17]
[1631, 3, 3, 2058327.022, 59482.964, 'up', 'ok', 18]
[1632, 7, 8, 1.501, 2.036, 'ok', 'up', 15]
[1632, 8, 9, 2.036, 0.207, 'up', 'ok', 16]
[1638, 22, 5, 66927.188, 2860.786, 'ok', 'up', 43]
[1638, 5, 16, 2860.786, 0.0, 'up', 'ok', 44]
[1654, 20, 20, 1020.135, 223506.33, 'ok', 'up', 3]
[1654, 20, 20, 223506.33, 10188.603, 'up', 'ok', 4]
[1654, 3, 3, 663.306, 1355508.281, 'ok', 'up', 28]
[1654, 3, 18, 1355508.281, 254.348, 'up', 'ok', 29]
[1686, 3, 3, 114.736, 767237.024, 'ok', 'up', 10]
[1686, 3, 3, 767237.024, 725.265, 'up', 'ok', 11]
[1704, 3, 3, 177.062, 2659174.191, 'ok', 'up', 7]
[1704, 3, 19, 2659174.191, 0.001, 'up', 'ok', 8]
[1707, 3, 19, 159.349, 2660185.622, 'ok', 'up', 5]
[1707, 19, 3, 2660185.622, 0.0, 'up', 'ok', 6]
[1733, 3, 3, 82.214, 1444773.483, 'ok', 'up', 21]
[1733, 3, 3, 1444773.483, 7.076, 'up', 'ok', 22]
[1733, 3, 19, 7.076, 416321.008, 'ok', 'up', 23]
[1733, 19, 3, 416321.008, 0.0, 'up', 'ok', 24]
[1774, 3, 3, 164.435, 1556614.307, 'ok', 'up', 30]
[1774, 3, 3, 1556614.307, 23.331, 'up', 'ok', 31]
[1774, 3, 3, 23.331, 654995.258, 'ok', 'up', 32]
[1774, 3, 19, 654995.258, 0.003, 'up', 'ok', 33]
[1811, 3, 3, 238.837, 1580973.019, 'ok', 'up', 30]
[1811, 3, 3, 1580973.019, 5.312, 'up', 'ok', 31]
[1812, 11, 11, 11.133, 783884.707, 'ok', 'up', 65]
[1812, 11, 11, 783884.707, 15.9, 'up', 'ok', 66]
[1812, 11, 11, 15.9, 675989.045, 'ok', 'up', 67]
[1812, 11, 11, 675989.045, 238256.251, 'up', 'ok', 68]
[1812, 11, 11, 24.77, 1058920.456, 'ok', 'up', 79]
