20, 0.1, 6622
140, 0.1, 8234
120, 0.1, 8085
60, 0.1, 7501
40, 0.1, 7160
160, 0.1, 8389
80, 0.1, 7738
100, 0.1, 7919
200, 0.1, 8631
220, 0.1, 8726
180, 0.1, 8515
280, 0.1, 8963
240, 0.1, 8804
260, 0.1, 8880
320, 0.1, 9130
300, 0.1, 9041
380, 0.1, 9418
400, 0.1, 9510
340, 0.1, 9210
360, 0.1, 9307
460, 0.1, 9762
420, 0.1, 9604
440, 0.1, 9686
480, 0.1, 9832
20, 0.2, 5277
40, 0.2, 5869
60, 0.2, 6282
80, 0.2, 6531
100, 0.2, 6792
120, 0.2, 6989
140, 0.2, 7168
160, 0.2, 7345
180, 0.2, 7513
200, 0.2, 7651
240, 0.2, 7880
220, 0.2, 7775
280, 0.2, 8068
260, 0.2, 7974
300, 0.2, 8176
320, 0.2, 8248
340, 0.2, 8318
360, 0.2, 8398
380, 0.2, 8470
20, 0.3, 4304
400, 0.2, 8567
440, 0.2, 8715
420, 0.2, 8631
40, 0.3, 4833
460, 0.2, 8789
60, 0.3, 5209
480, 0.2, 8851
80, 0.3, 5539
100, 0.3, 5805
120, 0.3, 6008
140, 0.3, 6187
160, 0.3, 6357
180, 0.3, 6509
200, 0.3, 6662
220, 0.3, 6817
280, 0.3, 7086
240, 0.3, 6923
260, 0.3, 7016
300, 0.3, 7175
320, 0.3, 7251
340, 0.3, 7327
360, 0.3, 7404
380, 0.3, 7463
20, 0.4, 3485
420, 0.3, 7580
400, 0.3, 7525
440, 0.3, 7638
460, 0.3, 7689
40, 0.4, 3998
60, 0.4, 4357
480, 0.3, 7737
100, 0.4, 4871
120, 0.4, 5071
80, 0.4, 4635
140, 0.4, 5266
160, 0.4, 5419
180, 0.4, 5559
200, 0.4, 5707
220, 0.4, 5846
260, 0.4, 6127
240, 0.4, 6004
280, 0.4, 6231
300, 0.4, 6319
320, 0.4, 6408
340, 0.4, 6474
360, 0.4, 6565
380, 0.4, 6636
400, 0.4, 6710
20, 0.5, 2755
420, 0.4, 6768
440, 0.4, 6823
40, 0.5, 3217
460, 0.4, 6886
480, 0.4, 6934
80, 0.5, 3846
60, 0.5, 3563
100, 0.5, 4059
140, 0.5, 4457
120, 0.5, 4271
160, 0.5, 4634
180, 0.5, 4787
220, 0.5, 5056
200, 0.5, 4927
240, 0.5, 5181
260, 0.5, 5314
300, 0.5, 5523
280, 0.5, 5416
320, 0.5, 5626
340, 0.5, 5735
380, 0.5, 5933
360, 0.5, 5838
400, 0.5, 5999
20, 0.6, 2085
420, 0.5, 6072
40, 0.6, 2551
460, 0.5, 6220
440, 0.5, 6130
60, 0.6, 2839
480, 0.5, 6269
80, 0.6, 3066
100, 0.6, 3286
120, 0.6, 3473
140, 0.6, 3654
160, 0.6, 3812
200, 0.6, 4093
180, 0.6, 3967
220, 0.6, 4193
240, 0.6, 4333
260, 0.6, 4448
280, 0.6, 4576
300, 0.6, 4678
320, 0.6, 4767
340, 0.6, 4865
360, 0.6, 4952
400, 0.6, 5168
20, 0.7, 1573
380, 0.6, 5066
420, 0.6, 5251
40, 0.7, 1967
440, 0.6, 5303
60, 0.7, 2263
80, 0.7, 2491
460, 0.6, 5394
100, 0.7, 2668
120, 0.7, 2827
480, 0.6, 5446
140, 0.7, 2978
180, 0.7, 3248
160, 0.7, 3119
240, 0.7, 3605
200, 0.7, 3392
220, 0.7, 3494
260, 0.7, 3718
280, 0.7, 3839
300, 0.7, 3954
320, 0.7, 4067
340, 0.7, 4164
360, 0.7, 4256
380, 0.7, 4361
20, 0.8, 1204
40, 0.8, 1570
400, 0.7, 4463
420, 0.7, 4560
460, 0.7, 4724
80, 0.8, 1998
60, 0.8, 1811
440, 0.7, 4641
120, 0.8, 2319
480, 0.7, 4810
100, 0.8, 2161
160, 0.8, 2625
